Date,ZM
4/18/2019,62
4/22/2019,65.699997
4/23/2019,69
4/24/2019,63.200001
4/25/2019,65
4/26/2019,66.220001
4/29/2019,68.169998
4/30/2019,72.470001
5/1/2019,72.760002
5/2/2019,75.5
5/3/2019,79.18
5/6/2019,78.239998
5/7/2019,73.330002
5/8/2019,77.68
5/9/2019,75.209999
5/10/2019,79.629997
5/13/2019,72.540001
5/14/2019,73.139999
5/15/2019,79.760002
5/16/2019,83.400002
5/17/2019,89.980003
5/20/2019,84.669998
5/21/2019,85.440002
5/22/2019,82.43
5/23/2019,78.760002
5/24/2019,76.25
5/28/2019,77.769997
5/29/2019,75.769997
5/30/2019,80.419998
5/31/2019,79.730003
6/3/2019,75.900002
6/4/2019,78.739998
6/5/2019,78.040001
6/6/2019,79.43
6/7/2019,94.050003
6/10/2019,102
6/11/2019,94.870003
6/12/2019,102.769997
6/13/2019,100.949997
6/14/2019,100.290001
6/17/2019,98.110001
6/18/2019,99.639999
6/19/2019,102.389999
6/20/2019,102.300003
6/21/2019,100.470001
6/24/2019,89.410004
6/25/2019,85.029999
6/26/2019,86.330002
6/27/2019,90.269997
6/28/2019,88.790001
7/1/2019,86.860001
7/2/2019,85.129997
7/3/2019,90.449997
7/5/2019,91.879997
7/8/2019,90.760002
7/9/2019,90.93
7/10/2019,92.720001
7/11/2019,91.400002
7/12/2019,93.300003
7/15/2019,99.800003
7/16/2019,97.099998
7/17/2019,99.730003
7/18/2019,95.190002
7/19/2019,93.379997
7/22/2019,96.669998
7/23/2019,97.389999
7/24/2019,95.940002
7/25/2019,97.110001
7/26/2019,102.199997
7/29/2019,96.470001
7/30/2019,95.489998
7/31/2019,95.510002
8/1/2019,95.099998
8/2/2019,93.660004
8/5/2019,89.690002
8/6/2019,90.43
8/7/2019,92.449997
8/8/2019,95.769997
8/9/2019,94.199997
8/12/2019,92.160004
8/13/2019,95.449997
8/14/2019,92.650002
8/15/2019,90.639999
8/16/2019,92.529999
8/19/2019,93.169998
8/20/2019,91.410004
8/21/2019,93.010002
8/22/2019,93.879997
8/23/2019,91.629997
8/26/2019,91.760002
8/27/2019,91.730003
8/28/2019,90.160004
8/29/2019,90.870003
8/30/2019,91.669998
9/3/2019,92.459999
9/4/2019,93.529999
9/5/2019,92.690002
9/6/2019,85.410004
9/9/2019,78.650002
9/10/2019,80.349998
9/11/2019,80.709999
9/12/2019,81.529999
9/13/2019,78.849998
9/16/2019,80.669998
9/17/2019,84.639999
9/18/2019,84.550003
9/19/2019,84.620003
9/20/2019,82.629997
9/23/2019,82.620003
9/24/2019,80.019997
9/25/2019,79.599998
9/26/2019,79.75
9/27/2019,76.040001
9/30/2019,76.199997
10/1/2019,75.809998
10/2/2019,73.849998
10/3/2019,76.830002
10/4/2019,76.529999
10/7/2019,76.989998
10/8/2019,73.589996
10/9/2019,72.860001
10/10/2019,71.010002
10/11/2019,71.349998
10/14/2019,70.800003
10/15/2019,71.110001
10/16/2019,67.690002
10/17/2019,67.029999
10/18/2019,66.080002
10/21/2019,65.769997
10/22/2019,62
10/23/2019,62.060001
10/24/2019,64.519997
10/25/2019,63.450001
10/28/2019,66.559998
10/29/2019,65.489998
10/30/2019,70
10/31/2019,69.889999
11/1/2019,70.389999
11/4/2019,70.120003
11/5/2019,66.889999
11/6/2019,66.830002
11/7/2019,66.809998
11/8/2019,69.849998
11/11/2019,68.389999
11/12/2019,68
11/13/2019,68.010002
11/14/2019,67.739998
11/15/2019,70.010002
11/18/2019,70.080002
11/19/2019,69.639999
11/20/2019,70.989998
11/21/2019,69.919998
11/22/2019,73.160004
11/25/2019,74.550003
11/26/2019,75.160004
11/27/2019,74.080002
11/29/2019,74.5
12/2/2019,68.93
12/3/2019,70.019997
12/4/2019,69.959999
12/5/2019,69.669998
12/6/2019,62.740002
12/9/2019,65.940002
12/10/2019,64.57
12/11/2019,63.52
12/12/2019,62.490002
12/13/2019,63.540001
12/16/2019,66.349998
12/17/2019,66.169998
12/18/2019,67.599998
12/19/2019,68.18
12/20/2019,66.93
12/23/2019,66.150002
12/24/2019,66.459999
12/26/2019,67.449997
12/27/2019,66.639999
12/30/2019,66.790001
12/31/2019,68.040001
1/2/2020,68.720001
1/3/2020,67.279999
1/6/2020,70.32
1/7/2020,71.900002
1/8/2020,72.550003
1/9/2020,72.620003
